VEDIA,3.654 	GENERAL PINTO BUENOS AIRES,718 
GENERAL PINTO,1.586 	FLORENTINO AMEGHINO BUENOS AIRES,199 
FLORENTINO AMEGHINO,342 	LINCOLN BUENOS AIRES,1.324 
LINCOLN,3.374 	GERMANIA BUENOS AIRES,31 
GERMANIA,72 	ARRECIFES BUENOS AIRES,615 
ARRECIFES,1.864 	LA TRINIDAD BUENOS AIRES,863 
LA TRINIDAD,3.733 	ROJAS BUENOS AIRES,5.565 
ROJAS,18.907 	ASCENSION BUENOS AIRES,173 
ASCENSION,644 	GENERAL ARENALES BUENOS AIRES,903 
GENERAL ARENALES,1.607 	SALTO BUENOS AIRES,5.577 
SALTO,24.469 	LEANDRO N. ALEM BUENOS AIRES,1.345 
LEANDRO N. ALEM,2.991 	RAWSON BUENOS AIRES,1.019 
RAWSON,2.723 	JUNIN BUENOS AIRES,6.993 
JUNIN,12.925 	CHACABUCO BUENOS AIRES,2.981 
CHACABUCO,5.317 	MORSE BUENOS AIRES,84 
MORSE,297 	CHIVILCOY BUENOS AIRES,1.119 
CHIVILCOY,1.753 	GENERAL O'BRIEN BUENOS AIRES,17 
GENERAL O'BRIEN,61 	SUIPACHA BUENOS AIRES,4.228 
SUIPACHA,6.995 	MARCOS PAZ BUENOS AIRES,1.537 
MARCOS PAZ,3.696 	LUJAN BUENOS AIRES,4.315 
LUJAN,10.804 	SAN ISIDRO BUENOS AIRES,9.117 
SAN ISIDRO,28.534 	ZARATE BUENOS AIRES,2.607 
ZARATE,8.586 	SAN FERNANDO BUENOS AIRES,12.394 
SAN FERNANDO,31.770 	LOS POLVORINES BUENOS AIRES,275 
LOS POLVORINES,757 	PILAR BUENOS AIRES,8.318 
PILAR,22.846 	CAPITAN SARMIENTO BUENOS AIRES,418 
CAPITAN SARMIENTO,913 	CARMEN DE ARECO BUENOS AIRES,261 
CARMEN DE ARECO,521 	MARIANO ACOSTA BUENOS AIRES,490 
MARIANO ACOSTA,1.298 	MERCEDES BUENOS AIRES,7.695 
MERCEDES,24.124 	SAN ANTONIO DE ARECO BUENOS AIRES,976 
SAN ANTONIO DE ARECO,1.538 	SAN ANDRES DE GILES BUENOS AIRES,289 
SAN ANDRES DE GILES,567 	LIMA BUENOS AIRES,4.934 
LIMA,15.246 	VILLA FLANDRIA NORTE BUENOS AIRES,9 
VILLA FLANDRIA NORTE,36 	VILLA FLANDRIA SUR BUENOS AIRES,13 
VILLA FLANDRIA SUR,48 	OPEN DOOR BUENOS AIRES,211 
OPEN DOOR,736 	CAMPANA BUENOS AIRES,23.427 
CAMPANA,90.515 	LOS CARDALES BUENOS AIRES,418 
LOS CARDALES,1.435 	GENERAL RODRIGUEZ BUENOS AIRES,8.117 
GENERAL RODRIGUEZ,23.647 	GENERAL LAS HERAS BUENOS AIRES,1.280 
GENERAL LAS HERAS,2.720 	MATHEU BUENOS AIRES,486 
MATHEU,1.934 	VILLA ROSA BUENOS AIRES,1.211 
VILLA ROSA,2.274 	VILLA ASTOLFI BUENOS AIRES,12 
VILLA ASTOLFI,43 	PRESIDENTE DERQUI BUENOS AIRES,82 
PRESIDENTE DERQUI,157 	MARIANO MORENO BUENOS AIRES,1.542 
MARIANO MORENO,3.415 	BELEN DE ESCOBAR BUENOS AIRES,98 
BELEN DE ESCOBAR,176 	MAQUINISTA SABIO BUENOS AIRES,2 
MAQUINISTA SABIO,4 	GARIN BUENOS AIRES,378 
GARIN,1.155 	DEL VISO BUENOS AIRES,405 
DEL VISO,1.075 	GRAND BOURG BUENOS AIRES,242 
GRAND BOURG,444 	PARQUE TRUJUI BUENOS AIRES,15 
PARQUE TRUJUI,16 	PONTEVEDRA BUENOS AIRES,163 
PONTEVEDRA,453 	DON TORCUATO BUENOS AIRES,934 
DON TORCUATO,3.027 	RAFAEL CASTILLO BUENOS AIRES,348 
